CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status
14012747,Man,300,27.8048148148148,45,299.34,11.12,338.29,0,Active
14012753,Man,300,31.4645454545455,45,198,0,198,0,Active
14012754,Woman,300,45.6523529411765,45,299.13,6.79,305.92,0,Active
14012759,Man,300,75.275,45,299.23,22.68,401.25,87,Blocked by The company
14012767,Man,300,292.9,45,292.9,21.37,482.35,87,Blocked by The company
14012772,Man,400,32.0177777777778,60,399.36,27.93,618.32,87,Blocked by The company
14012788,Woman,300,27.5736363636364,45,288.37,8.12,296.49,0,Active
14012794,Man,300,44.0575,45,0.64,0,0.64,0,Active
14012797,Man,300,9.125,45,298.81,19.81,487.68,87,Blocked by The company
14012817,Woman,300,54.8714285714286,45,113.99,0.14,114.13,0,Active
14012818,Man,400,69.782,60,397.1,10.63,407.73,0,Active
14012826,Woman,300,20.2594444444444,45,299.84,11.01,340.14,0,Active
14012828,Man,300,74.975,45,299.9,21.96,491.34,87,Blocked by The company
14012835,Woman,400,32.1427272727273,0,0,0,0,0,Active
14012836,Man,300,38.8093103448276,45,166.86,0,166.86,0,Active
14012837,Man,300,28.6663636363636,45,299.16,21.67,320.83,0,Active
14012839,Woman,300,36.7836363636364,45,287.13,20.1,418.65,28,Blocked by Customer
14012841,Man,400,38.676,60,377.76,23.14,587.06,87,Blocked by The company
14012845,Man,400,120.4125,60,371.91,0,371.91,0,Active
14012846,Man,300,74.6833333333333,45,297.23,17.65,314.88,0,Active
14012847,Man,400,21.3289655172414,60,399.65,12.17,411.82,0,Active
14012849,Man,400,48.97,60,397.76,20.95,418.71,0,Active
14012850,Man,300,150.636666666667,45,299.21,20.86,489.41,87,Blocked by The company
14012856,Woman,300,25.285,45,296.45,6.47,302.92,0,Active
14012860,Man,300,235.84,45,289.15,10.15,299.3,0,Active
14012878,Man,300,48.4357142857143,45,278.31,16.52,376.66,28,Blocked by The company
14012887,Man,300,20.1177777777778,45,289.84,19.1,427.6,56,Blocked by The company
14012889,Man,400,27.2166666666667,60,397.59,14.62,448.61,0,Active
14012890,Man,400,41.9490909090909,60,390.68,14.56,444.31,0,Active
14012893,Man,300,575,45,234.5,8.69,266.64,0,Active
14012895,Woman,400,0,0,0,0,0,0,Active
14012900,Man,300,31.026,45,303.73,19.89,356.99,0,Active
14012902,Man,300,137.425,45,274.85,15.84,454.62,87,Blocked by The company
14012905,Man,300,58.9557142857143,45,297.91,8.55,306.46,0,Active
14012906,Man,300,12.3740476190476,45,256.49,0.31,256.8,0,Active
14012909,Woman,300,21.2953333333333,45,291.64,20.08,430.74,56,Blocked by The company
14012911,Woman,300,21.3327777777778,45,299.98,8.98,308.96,0,Active
14012914,Man,300,93.2216666666666,45,300,10.08,310.08,0,Blocked by The company
14012915,Man,300,43.1825,45,285.81,0.34,286.15,0,Active
14012918,Man,300,175.4,45,278.97,1.32,280.29,0,Active
14012718,Woman,400,227.5,60,161.31,0,161.31,0,Active
14012722,Man,300,300,45,260.44,0.62,261.06,0,Active
14012723,Man,300,16.735,45,259.86,9.59,294.94,0,Active
14012733,Man,300,53.9604347826087,45,62.48,0.07,62.55,0,Active
14012742,Man,300,40.7117391304348,45,298.35,19.69,401.88,28,Blocked by The company
14012752,Man,300,87.936,0,0,0,-32.98,0,Active
14012755,Woman,300,42.8142857142857,45,299.7,22.3,491.44,87,Blocked by The company
14012756,Man,400,42.4354545454546,60,280.7,0.33,281.03,0,Active
14012757,Man,300,22.3872222222222,0,0,0,0,0,Stolen
14012762,Woman,500,47.358,75,498.77,17.55,554.75,0,Active
14012763,Woman,300,28.7219047619048,45,296.38,20.55,329.32,0,Active
14012765,Man,300,86.0175,45,299.96,21.13,433.29,28,Blocked by Customer
14012768,Man,300,104.625,45,299.2,24.12,492.66,87,Blocked by The company
14012776,Woman,300,27.8458333333333,45,295.55,20.16,426.58,28,Blocked by The company
14012784,Man,400,43.1636842105263,0,0,0,0,0,Active
14012785,Woman,300,92.8333333333333,45,278.5,17.79,460.94,87,Blocked by The company
14012787,Man,300,23.2354166666667,45,297.79,9.18,306.97,0,Active
14012791,Man,400,324.933333333333,60,392.7,12.22,404.92,0,Active
14012799,Man,300,35.075,45,290.94,11.43,302.37,0,Active
14012802,Woman,300,25.6748780487805,45,296.67,9.07,305.74,0,Active
14012803,Man,300,37.13,0,0,0,0,0,Blocked by The company
14012811,Man,300,67.562,45,288.08,20.22,416.14,28,Blocked by The company
14012824,Man,300,31.1936363636364,45,289.26,0.35,289.61,0,Active
14012829,Woman,300,89.2875,45,296.25,10.59,334.34,0,Active
14012830,Woman,300,19.6452830188679,45,299.66,10.7,326.13,0,Active
14012840,Woman,300,17.2421568627451,45,298.99,4.51,303.5,0,Active
14012862,Woman,300,292.95,45,292.95,30.47,354.02,0,Active
14012868,Woman,400,41.6075,7.36,7.1,0.26,7.36,0,Active
14012871,Woman,300,16.029,45,263.71,0,263.71,0,Active
14012873,Woman,300,74.92,45,297.08,3.2,300.28,0,Active
14012875,Man,300,82.2692857142857,45,298.33,10.41,308.74,0,Active
14012877,Man,300,16.7480952380952,45,299.27,11.09,338.38,0,Active
14012883,Woman,300,27.6175,45,283.18,10.54,322.04,0,Active
14012892,Woman,400,41.0554545454545,60,399.97,28.2,462.15,0,Active
14012898,Man,300,15.6332051282051,45,298.4,7.3,305.7,0,Active
14012904,Man,300,197.5,45,300,28.32,450.02,56,Blocked by The company
14012908,Man,300,67.9329411764706,45,299.12,9.36,308.48,0,Active
14012910,Woman,400,9.25920634920635,0,0,0,0,0,Active
14012917,Man,500,36.213125,75,497.13,35.23,557.57,0,Active
14012929,Man,300,41.0642857142857,45,279.37,8.84,288.21,0,Active
14012933,Woman,300,0,0,0,0,0,0,Active
